YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2019,BUICK,ENCORE,CONNECTIVITY,APPLE CARPLAYTM COMPATIBILITY,"Plug in your compatible iPhone® to Apple CarPlayTM† and have easy access to your music and maps, and be able to make phone calls, send messages and more—all through your vehicle’s touch-screen or with your voice through Siri.®",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/02-images/2019-encore-feat-conn-apple-carplay-19BUER00027.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,ANDROID AUTOTM COMPATIBILITY,"Android AutoTM† seamlessly connects your compatible smartphone to access your favorite apps, text messages and music. And with hands-free, voice-activated technology, you can keep your world moving while you're on the move.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/02-images/2019-encore-feat-conn-android-auto-19BUER00096.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,BUILT-IN 4G LTE WI-FI HOTSPOT,"Stay connected to your world, even when you’re on the go, with your vehicle’s available built-in 4G LTE Wi-Fi® hotspot†. It offers a fast and reliable connection and supports up to seven devices so your passengers can stream, surf and post their way at 4G LTE speed.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/01-images/2019-encore-feat-conn-wifi-19BUER00055.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,NAVIGATION,"Access real-time traffic data, get directions or save favorite routes and destinations with Encore's available built in Navigation† System.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/01-images/2019-encore-feat-conn-navigation-19BUER00029.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,MYBUICK APP,"The available myBuick app† lets you perform a number of vehicle functions right from your mobile device. Remotely start and stop† your engine, lock and unlock your doors, check your tire pressure† and get real-time diagnostics from almost anywhere.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/02-images/2019-encore-feat-conn-mybuick-app-19BUER00014.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,BUICK CONNECTED SERVICES,"Buick now offers three ways to seamlessly link your digital life to your connected vehicle. You decide which plan is right for you. Get Connected Access† with 10 years of standard connectivity, which enables services such as Buick Smart Driver† and Vehicle Diagnostics† at no additional cost. Add either Remote Access† or Unlimited Access† to connect to more available features, such as remote vehicle start† and unlimited 4G LTE Wi-Fi®† data.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/01-images/743-2015-onstar-lowece-141255-rgb.jpg?imwidth=960
2019,BUICK,ENCORE,PERFORMANCE,TURBOCHARGED PERFORMANCE,"The standard 138-hp 1.4L Turbo engine serves up 148 lb-ft of torque, offering a sporty performance, impressive responsiveness and surprising efficiency.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/performance/01-images/2019-encore-feat-perf-turbocharged-19BUER00119.jpg?imwidth=960
2019,BUICK,ENCORE,PERFORMANCE,ALL-WHEEL DRIVE,"To optimize traction, choose available intelligent All-Wheel Drive that constantly monitors all four wheels and transfers power between wheels when needed.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/performance/01-images/2019-encore-feat-perf-awd-19BUER00107.jpg?imwidth=960
2019,BUICK,ENCORE,PERFORMANCE,STABILITRAK,"When Encore senses a difference between the direction of the wheels and the steering wheel, the StabiliTrak electronic stability control system can apply quick, precise force to the brakes to help you stay confidently in command of the road ahead.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/performance/01-images/2019-encore-feat-perf-stabilitrak-19BUER00057.jpg?imwidth=960
2019,BUICK,ENCORE,PERFORMANCE,NIMBLE HANDLING,"The agile design and tight turning radius not only make the Encore SUV fun to drive, they help you navigate winding roads more confidently.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/performance/01-images/2019-encore-feat-perf-handling-19BUER00124.jpg?imwidth=960
2019,BUICK,ENVISION,EXTERIOR,SIGNATURE STYLING,Scan the sculpted lines and sleek curves of the New 2019 Envision and see what happens when an SUV is designed to a higher level of refinement.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/exterior/01-images/2019-envision-feat-ext-signature-styling-19BUEV00044.jpg?imwidth=960
2019,BUICK,ENVISION,EXTERIOR,MODERN LIGHTING,"The New 2019 Envision compact luxury SUV confidently announces its presence with bright, crisp available LED-accented headlamps and new low-profile LED-enhanced taillamps.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/exterior/01-images/2019-envision-feat-ext-modern-lighting-19BUEV00005.jpg?imwidth=960
2019,BUICK,ENVISION,EXTERIOR,STRIKING STANCE,The New 2019 Envision makes a lasting impression from every angle. At the forefront of the refreshed exterior: the unmistakable Buick grille and tricolor insignia.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/exterior/01-images/2019-envision-feat-ext-stance-19BUEV00002.jpg?imwidth=960
2019,BUICK,ENVISION,EXTERIOR,HANDS-FREE POWER LIFTGATE,"True luxury is in the little things, like a standard hands-free power liftgate that helps you access your cargo area without lifting a finger.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/exterior/01-images/2019-envision-feat-ext-liftgate-video.jpg?imwidth=960
2019,BUICK,ENVISION,EXTERIOR,PANORAMIC MOONROOF,Treat your passengers to expansive views of the sky with the New 2019 Envision compact luxury SUV’s available panoramic moonroof.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/exterior/01-images/2019-envision-feat-ext-panoramic-moonroof-19BUEV00007.jpg?imwidth=960
2019,BUICK,ENVISION,EXTERIOR,UNIQUE WHEELS,"Depending on the Envision trim level you choose, you’ll get distinctive wheels that complement the rest of your vehicle’s bold exterior. The 19"" aluminum wheels (shown) are standard on Premium and Premium II models.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/exterior/01-images/2019-envision-feat-ext-unique-wheels-19BUEV00008.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,SPACIOUS SECOND ROW,"The Envision offers spacious seating for up to five people. For even more space, the second-row seat can slide back to create nearly 7"" of additional leg room. ",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-seating-and-cargo-19BUEN00094.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,HEATED STEERING WHEEL,"When outside temperatures drop, revel in the soothing warmth of an available heated, leather-wrapped steering wheel.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-heated-steering-19BUEV00017.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,INTUITIVE CENTER STACK AND CONSOLE,"The Envision SUV’s intuitive center stack puts important features and controls at your fingertips, while its dual-winged center console is spacious and can be easily reached from the second row.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-console-19BUEV00074.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,QUIETTUNING,Buick QuietTuningTM technologies such as triple door seals and acoustic laminated glass in the windshield and front side windows help block outside noises and allow conversations in the New 2019 Envision to flourish.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-quiettuning-GMBN19400H-video.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,REFINED INTERIOR,"The New 2019 Envision is easy to get into and hard to leave. From its spacious cargo area and available cooled front seats, to its soft-touch materials and modern amenities, every detail works in harmony to enhance every moment.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-refined-materials-video.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,AIR IONIZER,An available in-vehicle ionization systems helps leave the air fresher.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-air-ionizer-19BUEV00071.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,COOLED FRONT SEATS,"A feature you’ll find especially valuable during warm summer days, available cooled front seats help both the driver and front passenger stay refreshed.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-cooled-seats-19BUEV00025.jpg?imwidth=960
2019,BUICK,ENVISION,INTERIOR,REAR-SEAT CLIMATE CONTROLS,Available tri-zone HVAC automatic climate controls allow rear passengers to personalize the air temperature in the second row.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/interior/01-images/2019-envision-feat-int-rear-climate-controls-19BUEV00015.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,SURROUND VISION,"This available system provides you with an overhead virtual “bird’s eye” view of the scene around your vehicle on a center-stack display, and helps you park and avoid crashes with nearby objects during low-speed maneuvering.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-surround-vision-19BUEV00028.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,LANE CHANGE ALERT WITH SIDE BLIND ZONE ALERT,"This available feature can provide side-mirror alerts to help you avoid moving vehicles detected either in your side blind zone, or rapidly approaching this zone during a lane-change maneuver.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-blind-zone-GMBN19INA00H.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,REAR CROSS TRAFFIC ALERT,"When in Reverse, available Rear Cross Traffic Alert can provide alerts to help you avoid approaching detected left or right cross traffic such as when pulling out of a crowded parking space or driveway with side obstructions.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-rearx-GMBN19INE00H.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,LANE KEEP ASSIST WITH LANE DEPARTURE WARNING,Available Lane Keep Assist with Lane Departure Warning can provide gentle steering-wheel turns to help you avoid unintentionally drifting out of your lane when you are not actively steering and your turn signal is not activated. It also can provide lane departure warnings if needed.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-lane-keep-GMBN19INB00H.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,INTELLIGENT AIRBAG SYSTEM,"In the event of a collision, the New 2019 Envision offers ten standard airbags† to help reduce the risk of injury to vehicle occupants during certain collisions.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-air-bag-19BUEV00024.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,FORWARD COLLISION ALERT,"If this available system detects that a front-end collision situation is imminent while following a detected vehicle, the system alerts you to a potential crash. The system can also alert you if you're following a detected vehicle much too closely.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-fwd-coll-GMBN19IN600H.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,SAFETY ALERT SEAT,The available GM-patented Safety Alert Seat provides you with the option of getting haptic seat-bottom vibration pulses instead of audible crash avoidance alerts.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-alert-seating-19BUEV00025.jpg?imwidth=960
2019,BUICK,ENVISION,SAFETY,FORWARD AUTOMATIC BRAKING,"Available Enhanced Automatic Emergency Braking can alert you when a front-end collision is detected to be imminent with a vehicle ahead you are following. It also can help reduce the collision’s severity or avoid the collision by automatically applying brakes if you have not already, or by enhancing driver braking.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/safety/01-images/2019-envision-feat-safe-auto-braking-19BUEV00043.jpg?imwidth=960
2019,BUICK,ENVISION,CONNECTIVITY,DRIVER INFORMATION CENTER,"The Envision SUV’s Driver Information Center conveniently displays fuel level, outside temperature, compass and other information to help you stay connected to what’s going on inside and outside of your vehicle.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/connectivity/01-images/2019-envision-conn-driver-info-center-19BUEV00038.jpg?imwidth=960
2019,BUICK,ENVISION,CONNECTIVITY,HEAD-UP DISPLAY,The available Head-Up Display projects critical information such as your speed onto the windshield to help you keep your eyes on the road ahead.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/connectivity/01-images/2019-envision-feat-conn-head-up-display-19BUEV00039.jpg?imwidth=960
2019,BUICK,ENVISION,CONNECTIVITY,APPLE CARPLAYTM COMPATIBILITY,"With Apple CarPlayTM compatibility†, you can access Apple Music and Apple Maps, make phone calls, send messages and more all through your Envision touch-screen or with your voice through Siri®.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/connectivity/02-images/2019-envision-feat-conn-apple-carplay-19BUEV00035.jpg?imwidth=960
2019,BUICK,ENVISION,CONNECTIVITY,ANDROID AUTOTM COMPATIBILITY,"Android AutoTM compatibility† seamlessly connects your compatible smartphone so you can get directions using Google Maps, listen to music via Google Play Music and more using your Envision touch-screen.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/envision/features/connectivity/02-images/2019-envision-feat-conn-android-auto-19BUEV00036.jpg?imwidth=960
